City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
3901903,uyuni,83,BO,1603140137,25,-20.46,-66.83,64.31,14.07
3945985,camana,39,PE,1603140157,67,-16.62,-72.71,65.77,7.31
4231997,avera,1,US,1603140158,47,33.19,-82.53,78.8,4.7
1502697,kondinskoye,59,RU,1603140158,96,59.65,67.41,35.91,7.29
6620339,karratha,0,AU,1603140219,84,-20.74,116.85,64.06,8.93
2974733,sete,90,FR,1603140219,82,43.4,3.7,60.8,18.34
2027296,aykhal,90,RU,1603140219,100,66.0,111.5,14.0,4.47
2347758,bara,12,NG,1603140219,55,10.41,10.6,78.8,5.95
1623424,tondano,40,ID,1603140219,100,1.3,124.91,73.4,2.24
3386213,touros,40,BR,1603140220,69,-5.2,-35.46,80.6,10.29
1808204,mugan,69,CN,1603140220,75,35.94,101.38,34.88,3.4
1737486,bintulu,20,MY,1603140220,94,3.17,113.03,77.0,2.24
733722,ahtopol,100,BG,1603140220,62,42.1,27.95,53.01,6.93
5896969,beaverlodge,100,CA,1603140220,92,55.22,-119.44,30.76,9.8
3466980,caravelas,100,BR,1603140102,74,-17.71,-39.25,73.96,5.17
1045114,inhambane,0,MZ,1603140220,81,-23.86,35.38,70.7,11.52
5972762,hay river,0,CA,1603140220,85,60.82,-115.8,28.67,3.4
1106643,quatre cocos,20,MU,1603140221,73,-20.21,57.76,73.4,8.05
777682,skjervoy,11,NO,1603140221,71,70.03,20.97,37.87,5.41
1519030,shu,0,KZ,1603140221,85,43.6,73.76,55.99,3.78
4297983,lexington,90,US,1603140189,93,37.99,-84.48,63.0,5.82
122285,neyshabur,0,IR,1603140221,36,36.21,58.8,50.45,1.52
3664078,humaita,79,BR,1603140221,55,-7.51,-63.02,88.16,1.1
5993072,kitimat,97,CA,1603140221,90,54.05,-128.65,43.0,4.99
2278158,buchanan,75,LR,1603140221,94,5.88,-10.05,77.0,7.02
2122574,ola,100,RU,1603140222,97,59.58,151.28,27.37,8.72
3448903,sao joao da barra,99,BR,1603140173,69,-21.64,-41.05,75.2,16.11
789923,jagodina,0,RS,1603140222,100,43.98,21.26,39.2,1.12
1502073,krasnoselkup,100,RU,1603140222,97,65.7,82.47,19.94,7.31
3421193,paamiut,100,GL,1603139769,80,61.99,-49.67,40.37,17.49
2976258,sanary-sur-mer,97,FR,1603140222,82,43.12,5.8,59.0,3.0
2350886,aku,74,NG,1603140222,90,6.71,7.32,74.53,3.47
2276492,harper,49,LR,1603140222,85,4.38,-7.72,77.38,7.54
2109528,buala,47,SB,1603140222,76,-8.14,159.59,83.44,5.23
2013639,verkhnevilyuysk,91,RU,1603140222,97,63.45,120.32,21.97,7.78
57000,hobyo,6,SO,1603140175,77,5.35,48.53,80.33,17.4
217695,bunia,100,CD,1603140223,85,1.57,30.25,64.15,3.06
5952330,ferme-neuve,100,CA,1603140223,63,46.7,-75.45,45.46,1.36
607610,zhanaozen,0,KZ,1603140223,70,43.3,52.8,51.76,4.68
2094027,kieta,6,PG,1603140223,73,-6.22,155.63,81.73,2.91
2618795,klaksvik,16,FO,1603140223,86,62.23,-6.59,39.2,11.41
1490711,sukhobuzimskoye,100,RU,1603140223,54,56.5,93.27,30.2,8.95
360630,cairo,0,EG,1603140110,78,30.06,31.25,75.2,16.11
6697802,pombia,8,GR,1603140223,73,35.01,24.87,68.0,5.82
1253628,lata,0,IN,1603140224,40,30.78,78.62,54.39,5.23
3359638,walvis bay,0,NA,1603140224,77,-22.96,14.51,59.0,4.7
2150163,sawtell,73,AU,1603140224,87,-30.38,153.1,60.8,6.93
3672086,pizarro,100,CO,1603140224,90,4.95,-77.37,74.86,2.46
5128654,newburgh,75,US,1603140224,72,41.5,-74.01,63.0,5.82
6355222,yulara,48,AU,1603140224,88,-25.24,130.99,66.2,9.17
3037854,amiens,85,FR,1603140224,76,49.9,2.3,51.01,14.99
1490918,staryy nadym,89,RU,1603140224,99,65.61,72.68,26.31,5.08
3197986,knin,11,HR,1603140225,78,44.04,16.2,37.99,1.99
240999,alindao,97,CF,1603140225,91,5.03,21.21,71.1,2.26
1506938,erzin,0,RU,1603140225,86,50.26,95.16,18.46,1.81
2064735,nhulunbuy,14,AU,1603140225,88,-12.23,136.77,71.6,5.75
2035707,mujiayingzi,0,CN,1603140225,55,42.12,118.78,44.87,7.31
1684606,taganak,20,PH,1603140225,94,6.08,118.3,77.0,2.24
3928128,tacna,4,PE,1603140026,72,-18.01,-70.25,66.99,12.75
478050,ust-kulom,100,RU,1603140286,92,61.69,53.69,33.85,5.35
3357804,eenhana,0,NA,1603140287,10,-17.47,16.33,84.2,2.24
1002145,george,100,ZA,1603140287,100,-33.96,22.46,55.4,9.17
609404,khromtau,10,KZ,1603140287,45,50.25,58.43,50.29,11.16
1082243,ambilobe,22,MG,1603140287,77,-13.2,49.05,74.07,1.54
3468352,cacu,4,BR,1603140287,50,-18.56,-51.13,83.79,8.79
190544,konza,75,KE,1603140287,88,-1.74,37.13,64.4,9.17
2508807,adrar,0,DZ,1603140287,21,25.75,-1.0,77.58,13.96
6154159,springdale,99,CA,1603140288,84,49.5,-56.06,57.0,7.27
4323873,estelle,75,US,1603140288,74,29.85,-90.11,82.99,8.05
495575,shatalovo,0,RU,1603140288,80,54.33,32.45,37.33,15.03
6089245,norman wells,9,CA,1603140288,81,65.28,-126.83,21.34,9.48
1816751,beidao,100,CN,1603140288,70,34.57,105.89,50.58,1.54
933759,ghanzi,0,BW,1603140288,18,-21.57,21.78,77.13,8.46
2027042,batagay-alyta,100,RU,1603140288,89,67.8,130.41,14.23,1.59
3395981,maceio,20,BR,1603140129,74,-9.67,-35.74,78.8,12.75
3374336,porto novo,20,CV,1603140289,69,17.02,-25.06,82.4,9.17
123941,minab,0,IR,1603140289,68,27.15,57.08,68.0,4.7
535183,linda,57,RU,1603140289,93,56.62,44.1,35.6,8.95
1185199,kaliganj,74,BD,1603140289,80,23.41,89.14,78.53,4.81
2180815,tuatapere,47,NZ,1603140289,83,-46.13,167.68,48.0,5.99
300797,silopi,0,TR,1603140289,29,37.25,42.47,63.7,3.29
1043893,lichinga,0,MZ,1603140290,46,-13.31,35.24,66.16,4.83
2448442,yorosso,77,ML,1603140290,64,12.35,-4.78,78.15,6.15
2427336,moussoro,0,TD,1603140290,12,13.64,16.49,91.13,7.76
5905393,bonavista,87,CA,1603140290,84,48.65,-53.11,51.01,9.42
1295765,akyab,96,MM,1603140290,80,20.15,92.9,80.98,8.48
3453060,pontes e lacerda,38,BR,1603140290,43,-15.23,-59.34,89.24,7.36
3571913,marsh harbour,100,BS,1603140290,76,26.54,-77.06,80.98,20.8
1734313,paka,56,MY,1603140291,100,4.64,103.44,75.2,2.08
3833859,tres arroyos,0,AR,1603140291,45,-38.37,-60.28,59.07,10.36
2124611,kholodnyy,97,RU,1603140291,84,62.72,147.95,8.17,3.56
2960935,wicklow,75,IE,1603140291,81,53.0,-6.42,54.0,17.22
3696267,huicungo,91,PE,1603140291,40,-7.28,-76.8,91.87,3.15
6050066,la ronge,75,CA,1603140291,83,55.1,-105.28,29.61,4.94
1218612,murgab,0,TM,1603140291,50,37.5,61.97,55.4,1.43
3467362,capao da canoa,0,BR,1603140292,88,-29.75,-50.01,69.28,14.07
3466165,cidreira,0,BR,1603139773,86,-30.18,-50.21,69.49,13.78
613226,lentekhi,99,GE,1603140292,69,42.79,42.73,55.4,2.84
5954718,flin flon,98,CA,1603140292,86,54.77,-101.86,30.81,6.55
1853483,oyama,75,JP,1603140292,93,36.3,139.8,57.0,1.12
3348078,kuito,0,AO,1603140292,43,-12.38,16.93,67.15,2.3
2649169,kinlochleven,100,GB,1603140292,97,56.71,-4.97,52.0,3.0
3175788,oga,48,IT,1603140293,100,46.46,10.35,52.0,2.24
3404558,cabedelo,20,BR,1603140293,69,-6.98,-34.83,80.6,11.41
2092164,lorengau,57,PG,1603140293,73,-2.02,147.27,81.28,1.61
2125693,evensk,93,RU,1603140293,94,61.95,159.23,35.51,16.91
2122090,pevek,0,RU,1603140293,94,69.7,170.31,24.62,13.98
2123814,leningradskiy,95,RU,1603139770,91,69.38,178.42,26.19,6.85
86049,jalu,31,LY,1603140293,41,29.03,21.55,76.33,6.64
1805408,jinsha,0,CN,1603140293,94,32.09,121.07,57.0,3.53
2657782,aberystwyth,100,GB,1603140228,80,52.42,-4.08,52.0,5.99
1213855,sibolga,47,ID,1603140294,79,1.74,98.78,76.42,3.62
5850554,makakilo city,90,US,1603139772,69,21.35,-158.09,82.4,9.17
485660,svetlyy,75,RU,1603140355,87,54.67,20.13,46.0,13.42
3855065,general roca,0,AR,1603140355,20,-39.03,-67.58,73.4,5.82
2127202,anadyr,85,RU,1603140355,74,64.75,177.48,33.8,8.95
6063191,mackenzie,98,CA,1603140355,80,55.3,-123.17,35.22,0.49
2017059,selenginsk,40,RU,1603140356,55,52.01,106.86,33.8,20.13
2176639,batemans bay,99,AU,1603140356,85,-35.72,150.18,60.01,1.59
1011632,de aar,59,ZA,1603140356,25,-30.65,24.01,67.75,10.29
2120047,ust-omchug,100,RU,1603140356,92,61.15,149.63,13.48,5.08
6164499,the pas,59,CA,1603140356,87,53.83,-101.25,31.37,7.25
118704,ravar,0,IR,1603140356,45,31.27,56.81,49.86,2.8
1803331,linxia,100,CN,1603140356,60,35.6,103.21,40.93,2.95
3421719,narsaq,93,GL,1603140357,84,60.92,-46.05,33.8,2.24
1608530,nakhon phanom,99,TH,1603140357,94,17.33,104.42,66.15,4.68
3899695,ancud,75,CL,1603140357,50,-41.87,-73.82,51.8,5.82
878054,masuguru,0,TZ,1603140357,61,-11.37,38.42,79.95,7.85
3405051,borba,92,BR,1603140357,42,-4.39,-59.59,93.27,1.66
1856392,muroto,100,JP,1603140357,62,33.28,134.15,64.71,17.87
1258815,alirajpur,99,IN,1603140357,80,22.3,74.35,78.84,3.83
1161724,chabahar,0,IR,1603140358,73,25.29,60.64,69.8,3.09
139817,bushehr,0,IR,1603140358,64,28.97,50.84,75.2,1.68
7626370,bud,0,NO,1603140358,66,62.91,6.91,33.8,8.05
2134814,sola,46,VU,1603140358,79,-13.88,167.55,79.75,18.3
2095038,kainantu,66,PG,1603140358,89,-6.29,145.87,62.78,0.58
2155742,narrabri,36,AU,1603140359,76,-30.32,149.78,57.2,9.17
3439781,treinta y tres,0,UY,1603140359,66,-33.23,-54.38,82.62,1.19
1728659,balabag,100,PH,1603140359,91,11.97,121.92,78.85,18.45
3372760,praia da vitoria,40,PT,1603140359,72,38.73,-27.07,62.6,31.43
3984997,san quintin,0,MX,1603140359,55,30.48,-115.95,77.77,19.42
2122605,okhotsk,2,RU,1603140359,81,59.38,143.3,20.95,23.22
1790437,zhuhai,40,CN,1603140359,78,22.28,113.57,71.6,20.8
2964782,dingle,100,IE,1603140360,92,52.14,-10.27,56.01,19.64
934322,mahebourg,20,MU,1603140360,73,-20.41,57.7,73.4,8.05
964406,port shepstone,96,ZA,1603140360,88,-30.74,30.45,68.72,1.72
3354071,oranjemund,2,NA,1603140360,87,-28.55,16.43,58.14,12.01
2194098,ahipara,100,NZ,1603140360,73,-35.17,173.17,62.91,10.47
1640972,katobu,35,ID,1603140360,86,-4.94,122.53,73.35,3.91
778707,mehamn,75,NO,1603140361,79,71.04,27.85,37.4,11.41
2214827,mizdah,0,LY,1603140361,74,31.45,12.98,58.53,7.85
6111862,port hardy,95,CA,1603140127,81,50.7,-127.42,52.39,12.97
4952206,stoughton,71,US,1603140361,67,42.13,-71.1,63.0,9.17
1529102,urumqi,7,CN,1603140361,60,43.8,87.6,42.8,2.24
2130629,asahikawa,2,JP,1603140361,69,43.77,142.37,44.26,3.85
1855612,nara,75,JP,1603140362,93,34.68,135.8,53.01,1.12
2208248,kaitangata,79,NZ,1603140362,68,-46.28,169.85,52.0,14.12
3527113,hidalgotitlan,75,MX,1603140362,70,17.78,-94.63,86.0,11.41
2033413,yichun,0,CN,1603140362,96,47.7,128.9,31.24,3.83
2031964,darhan,99,MN,1603140362,88,49.49,105.92,28.71,19.15
2139259,ouegoa,0,NC,1603140363,62,-20.35,164.43,75.74,6.58
1337613,kulhudhuffushi,0,MV,1603140363,79,6.62,73.07,81.39,12.55
978895,margate,97,ZA,1603140363,87,-30.86,30.37,68.85,2.19
2024626,dzhebariki-khaya,90,RU,1603140363,96,62.22,135.8,12.51,1.63
226853,paidha,100,UG,1603140363,95,2.42,30.99,61.41,0.31
1510916,barabinsk,100,RU,1603140363,63,55.36,78.36,42.4,15.46
2160517,launceston,90,AU,1603140392,87,-41.45,147.17,52.0,6.93
3839307,rawson,6,AR,1603140425,30,-43.3,-65.1,61.43,21.3
2162737,ingham,15,AU,1603140425,81,-18.65,146.17,72.1,1.72
1847947,shingu,100,JP,1603140425,73,33.73,135.98,54.73,5.84
3459435,juquitiba,75,BR,1603140425,82,-23.93,-47.07,66.2,4.7
3379507,bartica,20,GY,1603140425,62,6.4,-58.62,87.8,9.17
2817209,vilsbiburg,1,DE,1603140425,93,48.45,12.35,37.99,5.93
2022773,khandyga,96,RU,1603140425,96,62.67,135.6,12.29,3.04
1623197,tual,99,ID,1603140425,81,-5.67,132.75,80.74,12.62
4760059,fredericksburg,40,US,1603140425,60,38.3,-77.46,71.6,5.82
3374210,sao filipe,48,CV,1603140426,66,14.9,-24.5,82.78,7.7
1808857,hanzhong,100,CN,1603140426,85,33.07,107.03,55.35,2.3
161901,kaka,0,TM,1603140426,42,37.35,59.61,51.89,2.01
2022064,kirovskiy,0,RU,1603140426,82,45.09,133.51,38.28,3.11
5816320,bainbridge,90,US,1603140426,72,47.63,-122.52,59.0,1.19
4946620,palmer,75,US,1603140426,59,42.16,-72.33,62.6,4.7
3373652,oistins,20,BB,1603140426,66,13.07,-59.53,87.8,6.93
1252668,ziro,51,IN,1603140427,100,27.63,93.83,50.76,1.79
1563281,tuy hoa,100,VN,1603140427,89,13.08,109.3,75.81,4.43
2156404,mudgee,16,AU,1603140427,93,-32.59,149.59,54.0,5.82
3573061,saint george,40,BM,1603140427,69,32.38,-64.68,78.8,17.22
2962450,moville,100,IE,1603140427,90,55.18,-7.05,53.85,14.12
1651103,atambua,0,ID,1603140427,78,-9.11,124.89,72.48,1.57
3372783,ponta delgada,20,PT,1603140427,87,37.73,-25.67,59.0,5.82
3663495,manoel urbano,94,BR,1603140427,57,-8.84,-69.26,86.68,11.36
110690,faya,0,SA,1603140428,17,18.39,42.45,62.6,4.7
3129839,aras,100,ES,1603140428,55,42.56,-2.36,66.2,17.22
1488167,ust-koksa,83,RU,1603140428,81,50.27,85.61,28.67,2.35
575521,bogorodskoye,52,RU,1603140428,87,56.55,37.88,34.68,12.39
1529376,korla,0,CN,1603140309,74,41.76,86.15,46.99,1.01
2260401,djambala,100,CG,1603140428,90,-2.54,14.75,69.44,3.67
6057856,liverpool,65,CA,1603140428,94,44.03,-64.72,55.99,4.34
5703673,elko,56,US,1603140428,26,41.0,-115.5,73.0,11.99
217637,businga,87,CD,1603140428,93,3.33,20.88,72.93,1.66
102527,sakakah,0,SA,1603140429,11,29.97,40.21,73.4,5.82
2137773,vao,95,NC,1603140429,76,-22.67,167.48,73.42,16.71
56335,jawhar,0,SO,1603140429,82,2.78,45.5,76.77,7.36
2019118,nizhniy tsasuchey,98,RU,1603140429,81,50.52,115.13,35.6,2.93
3523183,minatitlan,75,MX,1603140429,70,17.98,-94.52,86.0,11.41
500316,rutul,20,RU,1603140429,48,41.54,47.42,66.2,13.87
6094407,oromocto,80,CA,1603140323,65,45.84,-66.48,55.99,3.96
295277,elat,0,IL,1603140429,54,29.56,34.95,84.2,4.7
2307795,mongomo,88,GQ,1603140430,98,1.63,11.31,68.25,2.73
1224061,wattegama,73,LK,1603140430,77,6.8,81.48,75.34,5.08
4031742,egvekinot,37,RU,1603140430,96,66.32,-179.17,25.9,5.66
